retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,31218,0.086111,0.566667,0.17543854680993343,0.0-0.2
bm25,1,31219,0.105556,0.041367,0.04312834087180471,0.0-0.2
bm25,1,31220,0.097222,0.1,0.15869721836154974,0.0-0.2
bm25,1,31221,0.088889,0.566667,0.3442702373753689,0.0-0.2
bm25,1,31223,0.088889,0.0,0.20831133247486217,0.0-0.2
bm25,1,31224,0.088889,0.016667,0.7593873271387881,0.0-0.2
bm25,1,31225,0.086111,0.233333,0.10485492296471632,0.0-0.2
bm25,1,31226,0.088889,0.45,0.20718551393697457,0.0-0.2
bm25,1,31227,0.091667,0.166667,0.14290773503746826,0.0-0.2
bm25,1,31228,0.097222,0.033333,0.12570236811008678,0.0-0.2
bm25,1,31229,0.088889,0.683333,0.21978133979978115,0.0-0.2
bm25,1,31230,0.086111,0.016667,0.24048326786647883,0.0-0.2
